Key,Item Type,Publication Year,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Status,
2S92YG2L,conferencePaper,2017,Machine Learning Based Intrusion Detection for Virtualized Infrastructures,Wavelet transform and unsupervised machine learning to detect insider threat on cloud file-sharing,2017 IEEE International Conference on Intelligence and Security Informatics (ISI),,,,,,2017,2019-07-12 5:04:47,2019-07-12 5:04:47,,155–157,,,,,,,,,,,IEEE,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\HSX5JAHG\Kumar et al. - 2016 - Analysis of machine learning techniques used in ma.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
SLIDSY4S,conferencePaper,2019,Recent advancements in resource allocation techniques for cloud computing environment: a systematic review,Towards a Distraction-free Waze,Proceedings of the 20th International Workshop on Mobile Computing Systems and Applications,978-1-4503-6273-3,,10.1145/3301293.3302369,http://doi.acm.org/10.1145/3301293.3302369,"Real-time traffic monitoring has had widespread success via crowd-sourced GPS data. While drivers benefit from this low-level, low-latency road information, any high-level traffic data such as road closures and accidents currently have very high latency as such systems rely solely on human reporting. Increasing the detail and decreasing the latency of this information can have significant value. In this paper we explore this idea by using a camera along with an in-vehicle computer to run computer vision algorithms that continuously observe the road conditions in high-detail. Abnormalities are automatically reported via 4G LTE to a local server on the edge, which collects and stores the data, and relays updates to other vehicles inside its zone. In this paper we develop and test such a system, which we call LiveMap. We demonstrate its accuracy on detecting hazards and characterize the system latency achieved.",2019,2019-07-12 5:41:16,2019-07-12 5:41:16,2019-07-12 5:41:01,15–20,,,,,,,HotMobile '19,,,,ACM,"New York, NY, USA",,,,Springer Link,,ACM Digital Library,,"event-place: Toronto, Canada",,,,,cloud computing; fog computing; data partitioning; Multi-FPGA; OpenCL global memory model; scalable interconnect; source-to-source code partitioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
4TI8M3YZ,journalArticle,2018,Automated multi-level malware detection system based on reconstructed semantic view of executables using machine learning techniques at VMM,Intrusion detection systems for IoT-based smart environments: a survey,Journal of Cloud Computing,,2192-113X,10.1186/s13677-018-0123-6,https://doi.org/10.1186/s13677-018-0123-6,"One of the goals of smart environments is to improve the quality of human life in terms of comfort and efficiency. The Internet of Things (IoT) paradigm has recently evolved into a technology for building smart environments. Security and privacy are considered key issues in any real-world smart environment based on the IoT model. The security vulnerabilities in IoT-based systems create security threats that affect smart environment applications. Thus, there is a crucial need for intrusion detection systems (IDSs) designed for IoT environments to mitigate IoT-related security attacks that exploit some of these security vulnerabilities. Due to the limited computing and storage capabilities of IoT devices and the specific protocols used, conventional IDSs may not be an option for IoT environments. This article presents a comprehensive survey of the latest IDSs designed for the IoT model, with a focus on the corresponding methods, features, and mechanisms. This article also provides deep insight into the IoT architecture, emerging security vulnerabilities, and their relation to the layers of the IoT architecture. This work demonstrates that despite previous studies regarding the design and implementation of IDSs for the IoT paradigm, developing efficient, reliable and robust IDSs for IoT-based smart environments is still a crucial task. Key considerations for the development of such IDSs are introduced as a future outlook at the end of this survey.",2018-12-04,2019-07-12 5:38:04,2019-07-12 5:38:04,2019-07-12 5:38:04,21,,1,7,,J Cloud Comp,Intrusion detection systems for IoT-based smart environments,,,,,,,en,,,Google Scholar,,Springer Link,,,,C:\Users\mathe\Zotero\storage\TUWD35NF\Nikravesh et al. - 2017 - An autonomic prediction suite for cloud resource p.pdf,,,Cloud computing; Auto-scaling; Cloud resource provisioning; Decision fusion technique; Empirical risk minimization; Multi-layer perceptron; Multi-layer perceptron with weight decay; Structural risk minimization; Workload pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
9EQE2W28,journalArticle,2017,"Cloud-Based Intrusion Detection and Response System: Open Research Issues, and Solutions",Keep the PokerFace on! Thwarting cache side channel attacks by memory bus monitoring and cache obfuscation,Journal of Cloud Computing,,2192-113X,10.1186/s13677-017-0101-4,https://doi.org/10.1186/s13677-017-0101-4,"Cloud instances are vulnerable to cross-core, cross-VM attacks against the shared, inclusive last-level cache. Automated cache template attacks, in particular, are very powerful as the vulnerabilities do not need to be manually identified. Such attacks can be devised using both the Prime+Probe and the Flush+Reload techniques. In this paper, we present PokerFace, a novel method to identify and mitigate such attacks. This approach allows us to identify suspicious cache accesses automatically, without prior knowledge about the system or access to hardware metrics. PokerFace consists of two components, Poker and Face. Poker executes a memory bus benchmark to measure the available bus bandwidth and derive information about cache accesses and possible side channel attacks. Our experiments with cache attacks show a reduction of up to 14% in the memory bandwidth during the attack. When an attack is detected, Poker triggers Face which performs cache obfuscation. We demonstrate the effectiveness of our approach against keypress logging attacks. We also test it against generic Prime+Probe and Flush+Reload attacks and show that it is practically useful against a variety of cache timing attacks. PokerFace incurs modest overheads (< 8%) and moreover, does not require support from the cloud provider or changes to the hypervisor. Unlike previously proposed techniques, it can be implemented by cloud subscribers.",2017-12-15,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:45,28,,1,6,,J Cloud Comp,,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\NXMRZY3V\Santos et al. - 2018 - Analyzing the availability and performance of an e.pdf,,,Cloud computing; Edge computing; Availability; Data center failure; e-health; Emergency call service; Fog computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
U2AYT9TP,,,Adaptation in cloud resource configuration: a survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
E5XHDMA4,,,A view of programming scalable data analysis: from clouds to exascale,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
CYPJDK2R,,,Survey of Data Intensive Computing Technologies Application to to Security Log Data Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
WCGAX5AR,conferencePaper,2017,A novel statistical technique for intrusion detection systems,Mining PMU Data Streams to Improve Electric Power System Resilience,"Proceedings of the Fourth IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",978-1-4503-5549-0,,10.1145/3148055.3148082,http://doi.acm.org/10.1145/3148055.3148082,"Phasor measurement units (PMUs) provide high-fidelity situational awareness of electric power grid operations. PMU data are used in real-time to inform wide area state estimation, monitor area control error, and event detection. As PMU data becomes more reliable, these devices are finding roles within control systems such as demand response programs and early fault detection systems. As with other cyber physical systems, maintaining data integrity and security are significant challenges for power system operators. In this paper, we present a comprehensive study of multiple machine learning techniques for detecting malicious data injection within PMU data streams. The two datasets used in this study are from the Bonneville Power Administration's PMU network and an inter-university PMU network among three universities, located in the U.S. Pacific Northwest. These datasets contain data from both the transmission level and the distribution level. Our results show that both SVM and ANN are generally effective in detecting spoofed data, and TensorFlow, the newly released tool, demonstrates potential for distributing the training workload and achieving higher performance. We expect these results to shed light on future work of adopting machine learning and data analytics techniques in the electric power industry.",2017,2019-07-12 5:18:25,2019-07-12 5:18:25,2019-07-12 5:18:14,95–102,,,,,,,BDCAT '17,,,,ACM,"New York, NY, USA",,,,ScienceDirect,,ACM Digital Library,,"event-place: Shanghai, China",,C:\Users\mathe\Zotero\storage\C2VKVSD6\Tall et al. - 2016 - Survey of Data Intensive Computing Technologies Ap.pdf,,,data intensive computing; hadoop; security event log information management; spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
ZLNLB73D,,,Machine Learning for Anomaly Detection and Categorization in Multi-Cloud Environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Fora do Escopo
2I7F74U8,conferencePaper,2017,SecureLR: Secure Logistic Regression Model via a Hybrid Cryptographic Protocol,DDoS attack detection using machine learning techniques in cloud computing environments,2017 3rd International Conference of Cloud Computing Technologies and Applications (CloudTech),,,,,,2017,2019-07-12 5:44:33,2019-07-12 5:44:33,,1–7,,,,,,,,,,,IEEE,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\VS6YWCPC\Gulenko et al. - 2016 - Evaluating machine learning algorithms for anomaly.pdf; C:\Users\mathe\Zotero\storage\KAHCHUGQ\7840917.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
JWWWHNIP,,,A risk assessment model for selecting cloud service providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
KAQ4TMKP,,,Outlier Dirichlet Mixture Mechanism: Adversarial Statistical Learning for Anomaly Detection in the Fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
Q3BJF9J6,conferencePaper,2015,A DNN-based object detection system on mobile cloud computing,Machine Learning for Achieving Self-* Properties and Seamless Execution of Applications in the Cloud,2015 IEEE Fourth Symposium on Network Cloud Computing and Applications (NCCA),,,10.1109/NCCA.2015.18,,"Software anomalies are recognized as a major problem affecting the performance and availability of many computer systems. Accumulation of anomalies of different nature, such as memory leaks and unterminated threads, may lead the system to both fail or work with suboptimal performance levels. This problem particularly affects web servers, where hosted applications are typically intended to continuously run, thus incrementing the probability, therefore the associated effects, of accumulation of anomalies. Given the unpredictability of occurrence of anomalies, continuous system monitoring would be required to detect possible system failures and/or excessive performance degradation in order to timely start some recovering procedure. In this paper, we present a Machine Learning-based framework for proactive management of client-server applications in the cloud. Through optimized Machine Learning models and continually measuring system features, the framework predicts the remaining time to the occurrence of some unexpected event (system failure, service level agreement violation, etc.) of a virtual machine hosting a server instance of the application. The framework is able to manage virtual machines in the presence of different types anomalies and with different anomaly occurrence patterns. We show the effectiveness of the proposed solution by presenting results of a set of experiments we carried out in the context of a real world-inspired scenario.",2015-06,2019-07-12 5:12:53,2019-07-12 5:18:22,,51-58,,,,,,,,,,,,,,,,IEEE Xplore,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\ZWC3GKLE\6967751.html,,,Big data; cloud computing; security of data; Cloud computing; Big Data; Cloud Computing; Servers; authenticated data structure; Authentication; cloud service providers; computing resource; data availability; data reliability; data security; Data Security; data streams processing; Data structures; data variety; data velocity; data volume; dynamic Big Data storage; dynamic data updates; Indexes; MR-MHT; MuR-DPA auditing; public auditing; Public Auditing; public data auditing schemes; replica management; Replica Management; storage management; storage resource; top-down levelled multireplica Merkle hash tree based secure public auditing; tree data structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
BFY7MF8L,,,Survey on machine learning algorithms as cloud service for CIDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
X9W9CCMP,,,A Convolutional Sequential Model for Network Load Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
QQ7JJ9NM,,,Mining PMU Data Streams to Improve Electric Power System Resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
AHBLIXEC,journalArticle,2014,Adaptive Neuro-Fuzzy-Based Anomaly Detection System in Cloud,A design space for dynamic service level agreements in OpenStack,Journal of Cloud Computing,,2192-113X,10.1186/s13677-014-0017-1,https://doi.org/10.1186/s13677-014-0017-1,"This paper does a systematic review of the possible design space for cloud-hosted applications that may have changing resource requirements that need to be supported through dynamic service level agreements (SLAs). The fundamental SLA functions are reviewed: Admission Control, Monitoring, SLA Evaluation, and SLA Enforcement - a classic autonomic control cycle. This is followed by an investigation into possible application requirements and SLA enforcement mechanisms. We then identify five basic Load Types that a dynamic SLA system must manage: Best Effort, Throttled, Load Migration, Preemption and Spare Capacity. The key to meeting application SLA requirements under changing surge conditions is to also manage the spare surge capacity. The use of this surge capacity could be managed by one of several identified load migration policies. A more detailed SLA architecture is presented that discusses specific SLA components. This is done in the context of the OpenStack since it is open source with a known architecture. Based on this SLA architecture, a research and development plan is presented wherein fundamental issues are identified that need to be resolved through research and experimentation. Based on successful outcomes, further developments are considered in the plan to produce a complete, end-to-end dynamic SLA capability. Executing on this plan will take significant resources and organization. The NSF Center for Cloud and Autonomic Computing is one possible avenue for pursuing these efforts. Given the growing importance of cloud performance management in the wider marketplace, the cloud community would be well-served to coordinate cloud SLA development across organizations such as the IEEE, Open Grid Forum, and the TeleManagement Forum.",2014-11-07,2019-07-12 5:23:06,2019-07-12 5:23:06,2019-07-12 5:23:06,17,,1,3,,J Cloud Comp,,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\WPWQ2ZNL\Zhang et al. - 2015 - Service workload patterns for Qos-driven cloud res.pdf,,,Quality of service; Resource management; Cloud scalability; QoS prediction; Uncertainty; Web and cloud services; Workload pattern mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
HMKWJB38,conferencePaper,2016,"Cloud, fog and edge: Cooperation for the future?",Evaluating machine learning algorithms for anomaly detection in clouds,2016 IEEE International Conference on Big Data (Big Data),,,,,,2016,2019-07-12 5:44:33,2019-07-12 5:44:33,,2716–2721,,,,,,,,,,,IEEE,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\6X46ZNHH\Hu et al. - 2017 - Anomaly detection system in secure cloud computing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
M3XJWI8L,journalArticle,2016,An intelligent intrusion detection system,Power management in virtualized data centers: state of the art,Journal of Cloud Computing,,2192-113X,10.1186/s13677-016-0055-y,https://doi.org/10.1186/s13677-016-0055-y,"Cloud computing is an emerging technology in the field of computing that provides access to a wide range of shared resources. The rapid growth of cloud computing has led to establishing numerous data centers around the world. As data centers consume huge amounts of power, enhancing their power efficiency has become a major challenge in cloud computing. This paper surveys previous studies and researches that aimed to improve power efficiency of virtualized data centers. This survey is a valuable guide for researchers in the field of power efficiency in virtualized data centers following the cloud computing model.",2016-04-27,2019-07-12 5:23:06,2019-07-12 5:23:06,2019-07-12 5:23:05,6,,1,5,,J Cloud Comp,Power management in virtualized data centers,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\9LRN4BII\Teka et al. - 2016 - Nearby live virtual machine migration using cloudl.pdf,,,Cloudlets; Fog computing; Mobile cloud computing; Multipath TCP; Virtual machine migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
2FSMVYE6,journalArticle,2017,Virtualization layer security challenges and intrusion detection/prevention systems in cloud computing: a comprehensive review,An autonomic prediction suite for cloud resource provisioning,Journal of Cloud Computing,,2192-113X,10.1186/s13677-017-0073-4,https://doi.org/10.1186/s13677-017-0073-4,"One of the challenges of cloud computing is effective resource management due to its auto-scaling feature. Prediction techniques have been proposed for cloud computing to improve cloud resource management. This paper proposes an autonomic prediction suite to improve the prediction accuracy of the auto-scaling system in the cloud computing environment. Towards this end, this paper proposes that the prediction accuracy of the predictive auto-scaling systems will increase if an appropriate time-series prediction algorithm based on the incoming workload pattern is selected. To test the proposition, a comprehensive theoretical investigation is provided on different risk minimization principles and their effects on the accuracy of the time-series prediction techniques in the cloud environment. In addition, experiments are conducted to empirically validate the theoretical assessment of the hypothesis. Based on the theoretical and the experimental results, this paper designs a self-adaptive prediction suite. The proposed suite can automatically choose the most suitable prediction algorithm based on the incoming workload pattern.",2017-02-03,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:45,3,,1,6,,J Cloud Comp,,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\WHYFLWZF\Khan et al. - 2017 - Fog computing security a review of current applic.pdf,,,Performance; Internet of things; Fog computing; Malware protection; Security threats; Wireless security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
MLB5QBVD,journalArticle,2017,Blockchain-based Personal Health Data Sharing System Using Cloud Storage,Anomaly detection system in secure cloud computing environment,International Journal of Computer Network and Information Security,,,,,,2017,2019-07-12 5:44:33,2019-07-12 5:44:33,,10,,4,9,,,,,,,,,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\AJHA7LV8\Bhamare et al. - 2016 - Feasibility of supervised machine learning for clo.pdf; C:\Users\mathe\Zotero\storage\DVJKLZ8S\7885853.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
6QXDZ5NH,journalArticle,2017,MDA: message digest-based authentication for mobile cloud computing,Fog computing security: a review of current applications and security solutions,Journal of Cloud Computing,,2192-113X,10.1186/s13677-017-0090-3,https://doi.org/10.1186/s13677-017-0090-3,"Fog computing is a new paradigm that extends the Cloud platform model by providing computing resources on the edges of a network. It can be described as a cloud-like platform having similar data, computation, storage and application services, but is fundamentally different in that it is decentralized. In addition, Fog systems are capable of processing large amounts of data locally, operate on-premise, are fully portable, and can be installed on heterogeneous hardware. These features make the Fog platform highly suitable for time and location-sensitive applications. For example, Internet of Things (IoT) devices are required to quickly process a large amount of data. This wide range of functionality driven applications intensifies many security issues regarding data, virtualization, segregation, network, malware and monitoring. This paper surveys existing literature on Fog computing applications to identify common security gaps. Similar technologies like Edge computing, Cloudlets and Micro-data centres have also been included to provide a holistic review process. The majority of Fog applications are motivated by the desire for functionality and end-user requirements, while the security aspects are often ignored or considered as an afterthought. This paper also determines the impact of those security issues and possible solutions, providing future security-relevant directions to those responsible for designing, developing, and maintaining Fog systems.",2017-08-16,2019-07-12 5:38:04,2019-07-12 5:38:04,2019-07-12 5:38:04,19,,1,6,,J Cloud Comp,Fog computing security,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\DDRQUSTY\Ashraf et al. - 2016 - Prediction-based VM provisioning and admission con.pdf,,,Cloud computing; Admission control; Cost-efficiency; Performance; Virtual machine provisioning; Web application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
93G5KZN6,conferencePaper,2014,Practical Machine Learning for Cloud Intrusion Detection: Challenges and the Way Forward,War against mobile malware with cloud computing and machine learning forces,2014 IEEE 3rd International Conference on Cloud Networking (CloudNet),,,10.1109/CloudNet.2014.6969008,,"Today's smart phones are used for wider range of activities. This extended range of functionalities has also seen the infiltration of new security threats. The malicious parties are using highly stealthy techniques to perform the targeted operations, which are hard to detect by the conventional signature and behavior based approaches. Besides, the limited resources of mobile device are inadequate to perform the computationally extensive malware detection tasks and to sustain the device's clean status. In this paper, we propose an effective and resource rich detection system which uses certain distinguishing combinations of permissions and intents used by the apps to identify the malware apps. Different machine learning algorithms are investigated for classification of apps into benign or malware types. To the best of our knowledge, this is the first ever work in which both the permissions and intents have been amalgamated for malware detection using cloud computing paradigm. Effectiveness of our approach is verified by testing the real-world malware and benign apps collected from various sources.",2014-10,2019-07-19 1:37:50,2019-07-19 1:37:50,,278-280,,,,,,,,,,,,,,,,ACM Digital Library,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\VRAAXVAQ\8701238.html,,,classification; cloud computing; Cloud computing; Machine learning; Training; random forest; Computer crime; pattern classification; Support vector machines; machine learning algorithms; computer network security; Cloud Computing; Bayes methods; support vector machine; support vector machines; SVM; Weka; DDoS attack detection; Naive Bayes; Intrusion Detection System; Random Forest; random forests; DDoS; distribute denial of service attacks; Naïve Bayes; Protocols; Tor Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Amity International Conference on Artificial Intelligence (AICAI),,,,,,,,,,,,,,Aceito,Fora do Escopo
9GC8IY5C,journalArticle,2017,A hybrid multi-layer intrusion detection system in cloud,Can functional characteristics usefully define the cloud computing landscape and is the current reference model correct?,Journal of Cloud Computing,,2192-113X,10.1186/s13677-017-0084-1,https://doi.org/10.1186/s13677-017-0084-1,"The NIST definition of cloud computing has been accepted by the majority of the community as the best available description to fully capture the variety of factors which determine how different stakeholders create, use or interact with cloud computing. With the breadth of the cloud computing landscape there is a need being expressed from within different cloud activities to consider how it may be best segmented so that the diversity might be more easily understood by the different stakeholders. The NIST definition considers four different deployment models (Private, Public, Hybrid, Community Cloud), three different service models (IaaS, PaaS, SaaS), and a number of characteristics (five in the final published version, but 13 in previous unpublished drafts). Exploring the definition further, this study aims to answer two questions: first, how can we use the affinity that different activities have with the definition’s characteristics and second, how well does the definition describe the whole cloud ecosystem? We find that utilising a quantitative methodology shows a clustering of different cloud projects and activities that are technically aligned and therefore likely to benefit from interactions and shared learning, and that the final (short-list) definition is more robust than the draft (long-list) definition. Finally, we present a segmentation of the cloud landscape that we believe can best support a sharing of learning between projects in individual clusters.",2017-06-05,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:45,10,,1,6,,J Cloud Comp,,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\9SA2F7VD\Elrawy et al. - 2018 - Intrusion detection systems for IoT-based smart en.pdf,,,Internet of things; Intrusion detection systems; Smart environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
G6HEDG7A,,,Improved Homomorphic Discrete Fourier Transforms and FHE Bootstrapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
A4SBB6AJ,conferencePaper,2018,Effective analysis of malware detection in cloud computing,Detecting Workload-based and Instantiation-based Economic Denial of Sustainability on 5G Environments,"Proceedings of the 13th International Conference on Availability, Reliability and Security",978-1-4503-6448-5,,10.1145/3230833.3233247,http://doi.acm.org/10.1145/3230833.3233247,"This paper reviews the Economic Denial of Sustainability (EDoS) problem in emerging network scenarios. The performed research studied them in context of adaptive approaches grounded on self-organizing networks (SON) and Network Function Virtualization (NFV). In particular, two novel threats were reviewed in depth: Workload-based EDoS (W-EDoS) and Instantiation-based EDoS (I-EDoS). With the aim to contribute to their mitigation a security architecture with network-based intrusion detection capabilities is proposed. This architecture implements machine learning techniques, network behaviour prediction, adaptive thresholding methods, and productivity-based clustering for detecting entropy-based anomalies based on the observed workload (W-EDoS) or suspicious variations of the productivity observed at the virtual instances (I-EDoS). A detailed experimentation has been conducted considering different calibration parameters under different network scenarios, on which the security architecture has been assessed. The results have proven good accuracy levels, hence demonstrating the proposal effectiveness.",2018,2019-07-12 5:18:25,2019-07-12 5:18:25,2019-07-12 5:17:57,50:1–50:8,,,,,,,ARES 2018,,,,ACM,"New York, NY, USA",,,,ScienceDirect,,ACM Digital Library,,"event-place: Tempe, AZ, USA",,,,,adversarial machine learning; convolutional neural networks; model manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
L67K6UUS,,,Evaluating machine learning algorithms for anomaly detection in clouds,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
9KWTC4MC,conferencePaper,2016,Emotion-Aware Multimedia Systems Security,Anomaly detection model based on hadoop platform and weka interface,2016 10th International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing (IMIS),,,,,,2016,2019-07-12 5:44:33,2019-07-12 5:44:33,,84–89,,,,,,,,,,,IEEE,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\AN7FD636\abstract.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
FV5WVMHP,journalArticle,2018,LogDrive: a proactive data collection and analysis framework for time-traveling forensic investigation in IaaS cloud environments,Journal of Cloud Computing,,2192-113X,10.1186/s13677-018-0119-2,https://doi.org/10.1186/s13677-018-0119-2,"This paper presents the LogDrive framework for mitigating the following problems of storage forensics in Infrastructure-as-a-Service (IaaS) cloud environments: volatility, increasing volume of forensic data, and anti-forensic attacks that hide traces of incidents in virtual machines. The proposed proactive data collection function of virtual block devices mitigates the problem of volatility within the cloud environments and enables a time-traveling investigation to reveal overwritten or deleted evidence files. We employ a sector-hash-based file detection method with random sampling to search for an evidence file in the record of the write logs of the virtual storage. The problem formulation, the investigation context, and the design with five algorithms are presented. We explore the performance of LogDrive through a detailed evaluation. Finally, security analysis of LogDrive is presented based on the STRIDE (Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, and Elevation of privilege) threats model and related work. We posted the source code of LogDrive on GitHub.",2018-10-03,2019-07-12 5:38:04,2019-07-12 5:38:04,2019-07-12 5:38:04,18,,1,7,,J Cloud Comp,LogDrive,,,,,,en,,,,,Springer Link,,,,C:\Users\mathe\Zotero\storage\JMATPR4V\Hirano et al. - 2018 - LogDrive a proactive data collection and analysis.pdf,,,Anti-forensics; Cloud forensics; Hypervisor; Parallel distributed processing; Surveillance; Virtual machine monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Fora do Escopo
